fid,inode,ftype,op,gp,tp,numoflinks,uid,size,ctime,mtime,name,pid,abspath
37,3149029,d,7,5,5,1,0,4096,1581368668.8570807,1581368667.0,dpkg,28,/var/lib/dpkg
38,2359770,d,7,5,5,2,0,4096,1580945626.431241,1578863451.0,pam,28,/var/lib/pam
39,3149026,d,7,5,5,1,0,4096,1581368668.8570807,1581368663.0,apt,28,/var/lib/apt
40,2359777,d,7,5,5,3,0,4096,1580945626.431241,1578863392.0,systemd,28,/var/lib/systemd
41,2359769,d,7,5,5,2,0,4096,1580945626.431241,1524558862.0,misc,28,/var/lib/misc
42,3149124,d,7,5,5,2,0,4096,1581368668.8570807,1581368664.0,python,28,/var/lib/python
43,3149123,d,7,5,5,1,0,4096,1581368668.8570807,1581368667.0,updates,37,/var/lib/dpkg/updates
44,3149032,d,7,5,5,1,0,4096,1581368668.8570807,1581368666.0,info,37,/var/lib/dpkg/info
45,2359761,d,7,5,5,2,0,4096,1580945626.431241,1523845521.0,parts,37,/var/lib/dpkg/parts
46,3149030,d,7,5,5,1,0,4096,1581368668.8570807,1581368666.0,alternatives,37,/var/lib/dpkg/alternatives
47,3149120,d,7,5,5,1,0,4096,1581368668.8570807,1581368665.0,triggers,37,/var/lib/dpkg/triggers
48,2359762,-,6,4,4,1,0,0,1580945626.424241,1578863392.0,statoverride,37,/var/lib/dpkg/statoverride
49,2359341,-,6,4,4,1,0,8,1580945626.345241,1578863397.0,cmethopt,37,/var/lib/dpkg/cmethopt
50,3149118,-,6,4,4,1,0,101918,1581368668.8500807,1581368667.0,status,37,/var/lib/dpkg/status
51,2359340,-,6,4,4,1,0,82571,1580945626.345241,1578863398.0,available,37,/var/lib/dpkg/available
52,3149116,-,6,4,0,1,0,0,1581368668.8500807,1581368666.0,lock,37,/var/lib/dpkg/lock
53,2359839,-,6,4,4,1,0,136,1580945626.663241,1579137633.0,diversions,37,/var/lib/dpkg/diversions
54,3149117,-,6,4,0,1,0,0,1581368668.8500807,1578863452.0,lock-frontend,37,/var/lib/dpkg/lock-frontend
55,3149119,-,6,4,4,1,0,101855,1581368668.851081,1581368666.0,status-old,37,/var/lib/dpkg/status-old
56,2359840,-,6,4,4,1,0,98,1580945626.663241,1578863454.0,diversions-old,37,/var/lib/dpkg/diversions-old
57,2359669,-,6,4,4,1,0,74,1580945626.407241,1516539664.0,libtasn1-6:amd64.triggers,44,/var/lib/dpkg/info/libtasn1-6:amd64.triggers
58,2359388,-,7,5,5,1,0,769,1580945626.353241,1516864473.0,dash.config,44,/var/lib/dpkg/info/dash.config
59,2359482,-,6,4,4,1,0,74,1580945626.372241,1523909660.0,libc6:amd64.triggers,44,/var/lib/dpkg/info/libc6:amd64.triggers
60,2359430,-,6,4,4,1,0,529,1580945626.360241,1578863448.0,grep.list,44,/var/lib/dpkg/info/grep.list
61,2359631,-,6,4,4,1,0,285,1580945626.396241,1578863436.0,libsemanage-common.list,44,/var/lib/dpkg/info/libsemanage-common.list
62,2359696,-,6,4,4,1,0,5098,1580945626.411241,1578863448.0,login.list,44,/var/lib/dpkg/info/login.list
63,2359710,-,6,4,4,1,0,1004,1580945626.412241,1578863451.0,mount.list,44,/var/lib/dpkg/info/mount.list
64,2359573,-,6,4,4,1,0,300,1580945626.384241,1527062907.0,libncursesw5:amd64.md5sums,44,/var/lib/dpkg/info/libncursesw5:amd64.md5sums
65,2359440,-,6,4,4,1,0,31,1580945626.360241,1492807494.0,libacl1:amd64.shlibs,44,/var/lib/dpkg/info/libacl1:amd64.shlibs
66,2359684,-,6,4,4,1,0,74,1580945626.409241,1553160601.0,libunistring2:amd64.triggers,44,/var/lib/dpkg/info/libunistring2:amd64.triggers
67,2359380,-,6,4,4,1,0,814,1580945626.352241,1578863447.0,bsdutils.list,44,/var/lib/dpkg/info/bsdutils.list
68,2359658,-,6,4,4,1,0,371157,1580945626.406241,1557330677.0,libstdc++6:amd64.symbols,44,/var/lib/dpkg/info/libstdc++6:amd64.symbols
69,2359465,-,6,4,4,1,0,219,1580945626.369241,1562243736.0,libbz2-1.0:amd64.md5sums,44,/var/lib/dpkg/info/libbz2-1.0:amd64.md5sums
70,2359746,-,7,5,5,1,0,642,1580945626.422241,1537283026.0,ubuntu-keyring.postinst,44,/var/lib/dpkg/info/ubuntu-keyring.postinst
71,2359708,-,7,5,5,1,0,299,1580945626.411241,1522758858.0,mawk.postinst,44,/var/lib/dpkg/info/mawk.postinst
72,2359726,-,6,4,4,1,0,343,1580945626.419241,1565365047.0,procps.conffiles,44,/var/lib/dpkg/info/procps.conffiles
73,2359647,-,6,4,4,1,0,74,1580945626.402241,1566517666.0,libsmartcols1:amd64.triggers,44,/var/lib/dpkg/info/libsmartcols1:amd64.triggers
74,2359491,-,6,4,4,1,0,74,1580945626.373241,1569520918.0,libcom-err2:amd64.triggers,44,/var/lib/dpkg/info/libcom-err2:amd64.triggers
75,2359691,-,6,4,4,1,0,220,1580945626.410241,1566325157.0,libzstd1:amd64.md5sums,44,/var/lib/dpkg/info/libzstd1:amd64.md5sums
76,2359349,-,7,5,5,1,0,312,1580945626.346241,1512493040.0,adduser.postrm,44,/var/lib/dpkg/info/adduser.postrm
77,2359457,-,6,4,4,1,0,2918,1580945626.368241,1518047992.0,libaudit1:amd64.symbols,44,/var/lib/dpkg/info/libaudit1:amd64.symbols
78,2359578,-,6,4,4,1,0,357,1580945626.384241,1513103238.0,libnettle6:amd64.md5sums,44,/var/lib/dpkg/info/libnettle6:amd64.md5sums
79,2359461,-,6,4,4,1,0,73,1580945626.368241,1518646823.0,libblkid1:amd64.shlibs,44,/var/lib/dpkg/info/libblkid1:amd64.shlibs
80,2359352,-,6,4,4,1,0,10605,1580945626.347241,1578863450.0,apt.list,44,/var/lib/dpkg/info/apt.list
81,2359735,-,6,4,4,1,0,1309,1580945626.420241,1578863443.0,sensible-utils.list,44,/var/lib/dpkg/info/sensible-utils.list
82,2359614,-,6,4,4,1,0,1125,1580945626.389241,1517682470.0,libpcre3:amd64.symbols,44,/var/lib/dpkg/info/libpcre3:amd64.symbols
83,2359448,-,6,4,4,1,0,216,1580945626.366241,1492807550.0,libattr1:amd64.md5sums,44,/var/lib/dpkg/info/libattr1:amd64.md5sums
84,2359630,-,6,4,4,1,0,27,1580945626.396241,1519896915.0,libsemanage-common.conffiles,44,/var/lib/dpkg/info/libsemanage-common.conffiles
85,2359723,-,7,5,5,1,0,196,1580945626.419241,1553281538.0,passwd.prerm,44,/var/lib/dpkg/info/passwd.prerm
86,2359600,-,7,5,5,1,0,531,1580945626.387241,1551277610.0,libpam-runtime.postrm,44,/var/lib/dpkg/info/libpam-runtime.postrm
87,2359378,-,7,5,5,1,0,36112,1580945626.352241,1559860095.0,bash.preinst,44,/var/lib/dpkg/info/bash.preinst
88,2359654,-,6,4,4,1,0,514,1580945626.403241,1557330677.0,libstdc++6:amd64.md5sums,44,/var/lib/dpkg/info/libstdc++6:amd64.md5sums
89,2359503,-,6,4,4,1,0,106,1580945626.374241,1569520918.0,libext2fs2:amd64.shlibs,44,/var/lib/dpkg/info/libext2fs2:amd64.shlibs
90,2359748,-,6,4,4,1,0,10305,1580945626.422241,1578863449.0,util-linux.list,44,/var/lib/dpkg/info/util-linux.list
91,2359444,-,6,4,4,1,0,29,1580945626.361241,1567505135.0,libapt-pkg5.0:amd64.shlibs,44,/var/lib/dpkg/info/libapt-pkg5.0:amd64.shlibs
92,2359504,-,6,4,4,1,0,22747,1580945626.374241,1569520918.0,libext2fs2:amd64.symbols,44,/var/lib/dpkg/info/libext2fs2:amd64.symbols
93,2359670,-,6,4,4,1,0,419,1580945626.407241,1578863448.0,libtinfo5:amd64.list,44,/var/lib/dpkg/info/libtinfo5:amd64.list
94,2359660,-,6,4,4,1,0,253,1580945626.406241,1578863450.0,libsystemd0:amd64.list,44,/var/lib/dpkg/info/libsystemd0:amd64.list
95,2359525,-,6,4,4,1,0,7436,1580945626.376241,1529328510.0,libgcrypt20:amd64.symbols,44,/var/lib/dpkg/info/libgcrypt20:amd64.symbols
96,2359534,-,6,4,4,1,0,38,1580945626.378241,1578497940.0,libgnutls30:amd64.shlibs,44,/var/lib/dpkg/info/libgnutls30:amd64.shlibs
97,2359362,-,6,4,4,1,0,2156,1580945626.348241,1569608674.0,base-files.md5sums,44,/var/lib/dpkg/info/base-files.md5sums
98,2359571,-,6,4,4,1,0,74,1580945626.383241,1527062907.0,libncurses5:amd64.triggers,44,/var/lib/dpkg/info/libncurses5:amd64.triggers
99,2359556,-,6,4,4,1,0,74,1580945626.381241,1522758821.0,liblz4-1:amd64.triggers,44,/var/lib/dpkg/info/liblz4-1:amd64.triggers
100,2359544,-,6,4,4,1,0,34,1580945626.380241,1513103238.0,libhogweed4:amd64.shlibs,44,/var/lib/dpkg/info/libhogweed4:amd64.shlibs
101,2359514,-,6,4,4,1,0,1226,1580945626.375241,1515317948.0,libffi6:amd64.symbols,44,/var/lib/dpkg/info/libffi6:amd64.symbols
102,2359623,-,6,4,4,1,0,1030,1580945626.390241,1556914143.0,libseccomp2:amd64.symbols,44,/var/lib/dpkg/info/libseccomp2:amd64.symbols
103,2359454,-,6,4,4,1,0,242,1580945626.366241,1578863421.0,libaudit1:amd64.list,44,/var/lib/dpkg/info/libaudit1:amd64.list
104,2359741,-,6,4,4,1,0,845,1580945626.421241,1548088691.0,tar.md5sums,44,/var/lib/dpkg/info/tar.md5sums
105,2359656,-,7,5,5,1,0,402,1580945626.403241,1557330677.0,libstdc++6:amd64.prerm,44,/var/lib/dpkg/info/libstdc++6:amd64.prerm
106,2359585,-,6,4,4,1,0,3679,1580945626.385241,1507957363.0,libp11-kit0:amd64.symbols,44,/var/lib/dpkg/info/libp11-kit0:amd64.symbols
107,2359692,-,6,4,4,1,0,49,1580945626.410241,1566325157.0,libzstd1:amd64.shlibs,44,/var/lib/dpkg/info/libzstd1:amd64.shlibs
108,2359637,-,6,4,4,1,0,74,1580945626.401241,1519896915.0,libsemanage1:amd64.triggers,44,/var/lib/dpkg/info/libsemanage1:amd64.triggers
109,2359547,-,6,4,4,1,0,447,1580945626.380241,1578863450.0,libidn2-0:amd64.list,44,/var/lib/dpkg/info/libidn2-0:amd64.list
110,2359618,-,6,4,4,1,0,23,1580945626.389241,1565365047.0,libprocps6:amd64.shlibs,44,/var/lib/dpkg/info/libprocps6:amd64.shlibs
111,2359728,-,6,4,4,1,0,2590,1580945626.420241,1565365047.0,procps.md5sums,44,/var/lib/dpkg/info/procps.md5sums
112,2359417,-,6,4,4,1,0,1781,1580945626.359241,1578863448.0,e2fsprogs.list,44,/var/lib/dpkg/info/e2fsprogs.list
113,2359353,-,6,4,4,1,0,11860,1580945626.348241,1567505135.0,apt.md5sums,44,/var/lib/dpkg/info/apt.md5sums
114,2359661,-,6,4,4,1,0,226,1580945626.407241,1573830076.0,libsystemd0:amd64.md5sums,44,/var/lib/dpkg/info/libsystemd0:amd64.md5sums
115,2359577,-,6,4,4,1,0,328,1580945626.384241,1578863439.0,libnettle6:amd64.list,44,/var/lib/dpkg/info/libnettle6:amd64.list
116,2359530,-,6,4,4,1,0,16023,1580945626.377241,1516798255.0,libgmp10:amd64.symbols,44,/var/lib/dpkg/info/libgmp10:amd64.symbols
117,2359396,-,6,4,4,1,0,48,1580945626.355241,1557160230.0,debconf.conffiles,44,/var/lib/dpkg/info/debconf.conffiles
118,2359361,-,6,4,4,1,0,2117,1580945626.348241,1578863447.0,base-files.list,44,/var/lib/dpkg/info/base-files.list
119,2359673,-,6,4,4,1,0,10479,1580945626.408241,1527062907.0,libtinfo5:amd64.symbols,44,/var/lib/dpkg/info/libtinfo5:amd64.symbols
120,2359749,-,6,4,4,1,0,18387,1580945626.422241,1566517666.0,util-linux.md5sums,44,/var/lib/dpkg/info/util-linux.md5sums
121,2359756,-,6,4,4,1,0,83,1580945626.423241,1495539149.0,zlib1g:amd64.shlibs,44,/var/lib/dpkg/info/zlib1g:amd64.shlibs
122,2359383,-,6,4,4,1,0,751,1580945626.353241,1562243736.0,bzip2.md5sums,44,/var/lib/dpkg/info/bzip2.md5sums
123,2359583,-,6,4,4,1,0,318,1580945626.384241,1507957363.0,libp11-kit0:amd64.md5sums,44,/var/lib/dpkg/info/libp11-kit0:amd64.md5sums
124,2359704,-,7,5,5,1,0,195,1580945626.411241,1512514453.0,lsb-base.preinst,44,/var/lib/dpkg/info/lsb-base.preinst
125,2359672,-,6,4,4,1,0,99,1580945626.407241,1527062907.0,libtinfo5:amd64.shlibs,44,/var/lib/dpkg/info/libtinfo5:amd64.shlibs
126,2359399,-,6,4,4,1,0,11121,1580945626.355241,1557160230.0,debconf.md5sums,44,/var/lib/dpkg/info/debconf.md5sums
127,2359510,-,6,4,4,1,0,74,1580945626.375241,1566517666.0,libfdisk1:amd64.triggers,44,/var/lib/dpkg/info/libfdisk1:amd64.triggers
128,2359449,-,6,4,4,1,0,81,1580945626.366241,1492807550.0,libattr1:amd64.shlibs,44,/var/lib/dpkg/info/libattr1:amd64.shlibs
129,2359509,-,6,4,4,1,0,11473,1580945626.375241,1566517666.0,libfdisk1:amd64.symbols,44,/var/lib/dpkg/info/libfdisk1:amd64.symbols
130,2359358,-,6,4,4,1,0,23,1580945626.348241,1567505135.0,apt.shlibs,44,/var/lib/dpkg/info/apt.shlibs
131,2359489,-,6,4,4,1,0,59,1580945626.372241,1569520918.0,libcom-err2:amd64.shlibs,44,/var/lib/dpkg/info/libcom-err2:amd64.shlibs
132,2359365,-,7,5,5,1,0,188,1580945626.349241,1569608674.0,base-files.preinst,44,/var/lib/dpkg/info/base-files.preinst
133,2359519,-,6,4,4,1,0,19,1580945626.376241,1557330677.0,libgcc1:amd64.shlibs,44,/var/lib/dpkg/info/libgcc1:amd64.shlibs
134,2359665,-,6,4,4,1,0,361,1580945626.407241,1578863441.0,libtasn1-6:amd64.list,44,/var/lib/dpkg/info/libtasn1-6:amd64.list
135,2359462,-,6,4,4,1,0,4857,1580945626.368241,1566517666.0,libblkid1:amd64.symbols,44,/var/lib/dpkg/info/libblkid1:amd64.symbols
136,2359477,-,7,5,5,1,0,1364,1580945626.370241,1523909660.0,libc6:amd64.postrm,44,/var/lib/dpkg/info/libc6:amd64.postrm
137,2359662,-,6,4,4,1,0,25,1580945626.407241,1573830076.0,libsystemd0:amd64.shlibs,44,/var/lib/dpkg/info/libsystemd0:amd64.shlibs
138,2359507,-,6,4,4,1,0,141,1580945626.374241,1566517666.0,libfdisk1:amd64.md5sums,44,/var/lib/dpkg/info/libfdisk1:amd64.md5sums
139,2359427,-,6,4,4,1,0,301,1580945626.360241,1557330677.0,gcc-8-base:amd64.md5sums,44,/var/lib/dpkg/info/gcc-8-base:amd64.md5sums
140,2359379,-,7,5,5,1,0,289,1580945626.352241,1559860095.0,bash.prerm,44,/var/lib/dpkg/info/bash.prerm
141,2359356,-,7,5,5,1,0,261,1580945626.348241,1567505135.0,apt.preinst,44,/var/lib/dpkg/info/apt.preinst
142,2359671,-,6,4,4,1,0,422,1580945626.407241,1527062907.0,libtinfo5:amd64.md5sums,44,/var/lib/dpkg/info/libtinfo5:amd64.md5sums
143,2359415,-,7,5,5,1,0,490,1580945626.359241,1567717514.0,dpkg.postrm,44,/var/lib/dpkg/info/dpkg.postrm
144,2359493,-,6,4,4,1,0,370,1580945626.373241,1559568828.0,libdb5.3:amd64.md5sums,44,/var/lib/dpkg/info/libdb5.3:amd64.md5sums
145,2359537,-,6,4,4,1,0,302,1580945626.379241,1578863408.0,libgpg-error0:amd64.list,44,/var/lib/dpkg/info/libgpg-error0:amd64.list
146,2359432,-,6,4,4,1,0,945,1580945626.360241,1578863420.0,gzip.list,44,/var/lib/dpkg/info/gzip.list
147,2359595,-,6,4,4,1,0,13331,1580945626.386241,1551277610.0,libpam-modules:amd64.templates,44,/var/lib/dpkg/info/libpam-modules:amd64.templates
148,2359568,-,6,4,4,1,0,296,1580945626.383241,1527062907.0,libncurses5:amd64.md5sums,44,/var/lib/dpkg/info/libncurses5:amd64.md5sums
149,2359501,-,6,4,4,1,0,340,1580945626.374241,1578863448.0,libext2fs2:amd64.list,44,/var/lib/dpkg/info/libext2fs2:amd64.list
150,2359599,-,7,5,5,1,0,1282,1580945626.387241,1551277610.0,libpam-runtime.postinst,44,/var/lib/dpkg/info/libpam-runtime.postinst
151,2359743,-,7,5,5,1,0,317,1580945626.421241,1548088691.0,tar.prerm,44,/var/lib/dpkg/info/tar.prerm
152,2359655,-,7,5,5,1,0,523,1580945626.403241,1557330677.0,libstdc++6:amd64.postinst,44,/var/lib/dpkg/info/libstdc++6:amd64.postinst
153,2359401,-,7,5,5,1,0,187,1580945626.355241,1557160230.0,debconf.postrm,44,/var/lib/dpkg/info/debconf.postrm
154,2359546,-,6,4,4,1,0,75,1580945626.380241,1513103238.0,libhogweed4:amd64.triggers,44,/var/lib/dpkg/info/libhogweed4:amd64.triggers
155,2359699,-,7,5,5,1,0,1048,1580945626.411241,1553281538.0,login.preinst,44,/var/lib/dpkg/info/login.preinst
156,2359385,-,6,4,4,1,0,12197,1580945626.353241,1516268629.0,coreutils.md5sums,44,/var/lib/dpkg/info/coreutils.md5sums
157,2359616,-,6,4,4,1,0,288,1580945626.389241,1578863452.0,libprocps6:amd64.list,44,/var/lib/dpkg/info/libprocps6:amd64.list
158,2359640,-,6,4,4,1,0,21,1580945626.401241,1504987808.0,libsepol1:amd64.shlibs,44,/var/lib/dpkg/info/libsepol1:amd64.shlibs
159,2359463,-,6,4,4,1,0,74,1580945626.368241,1566517666.0,libblkid1:amd64.triggers,44,/var/lib/dpkg/info/libblkid1:amd64.triggers
160,2359474,-,6,4,4,1,0,13460,1580945626.369241,1578863404.0,libc6:amd64.list,44,/var/lib/dpkg/info/libc6:amd64.list
161,2359576,-,6,4,4,1,0,74,1580945626.384241,1527062907.0,libncursesw5:amd64.triggers,44,/var/lib/dpkg/info/libncursesw5:amd64.triggers
162,2359476,-,7,5,5,1,0,7565,1580945626.370241,1523909660.0,libc6:amd64.postinst,44,/var/lib/dpkg/info/libc6:amd64.postinst
163,2359506,-,6,4,4,1,0,242,1580945626.374241,1578863448.0,libfdisk1:amd64.list,44,/var/lib/dpkg/info/libfdisk1:amd64.list
164,2359539,-,6,4,4,1,0,89,1580945626.379241,1517873994.0,libgpg-error0:amd64.shlibs,44,/var/lib/dpkg/info/libgpg-error0:amd64.shlibs
165,2359731,-,7,5,5,1,0,1581,1580945626.420241,1565365047.0,procps.preinst,44,/var/lib/dpkg/info/procps.preinst
166,2359486,-,6,4,4,1,0,75,1580945626.372241,1506293017.0,libcap-ng0:amd64.triggers,44,/var/lib/dpkg/info/libcap-ng0:amd64.triggers
167,2359521,-,6,4,4,1,0,74,1580945626.376241,1557330677.0,libgcc1:amd64.triggers,44,/var/lib/dpkg/info/libgcc1:amd64.triggers
168,2359736,-,6,4,4,1,0,1431,1580945626.421241,1520849873.0,sensible-utils.md5sums,44,/var/lib/dpkg/info/sensible-utils.md5sums
169,2359446,-,6,4,4,1,0,74,1580945626.365241,1567505135.0,libapt-pkg5.0:amd64.triggers,44,/var/lib/dpkg/info/libapt-pkg5.0:amd64.triggers
170,2359745,-,6,4,4,1,0,828,1580945626.422241,1537283026.0,ubuntu-keyring.md5sums,44,/var/lib/dpkg/info/ubuntu-keyring.md5sums
171,2359619,-,6,4,4,1,0,74,1580945626.389241,1565365047.0,libprocps6:amd64.triggers,44,/var/lib/dpkg/info/libprocps6:amd64.triggers
172,2359627,-,6,4,4,1,0,61,1580945626.395241,1519896909.0,libselinux1:amd64.shlibs,44,/var/lib/dpkg/info/libselinux1:amd64.shlibs
173,2359717,-,6,4,4,1,0,134,1580945626.412241,1553281538.0,passwd.conffiles,44,/var/lib/dpkg/info/passwd.conffiles
174,2359687,-,6,4,4,1,0,69,1580945626.410241,1518646823.0,libuuid1:amd64.shlibs,44,/var/lib/dpkg/info/libuuid1:amd64.shlibs
175,2359471,-,7,5,5,1,0,1273,1580945626.369241,1523909660.0,libc-bin.postinst,44,/var/lib/dpkg/info/libc-bin.postinst
176,2359569,-,6,4,4,1,0,128,1580945626.383241,1527062907.0,libncurses5:amd64.shlibs,44,/var/lib/dpkg/info/libncurses5:amd64.shlibs
177,2359705,-,7,5,5,1,0,195,1580945626.411241,1512514453.0,lsb-base.prerm,44,/var/lib/dpkg/info/lsb-base.prerm
178,2359431,-,6,4,4,1,0,746,1580945626.360241,1568818816.0,grep.md5sums,44,/var/lib/dpkg/info/grep.md5sums
179,2359645,-,6,4,4,1,0,89,1580945626.402241,1518646824.0,libsmartcols1:amd64.shlibs,44,/var/lib/dpkg/info/libsmartcols1:amd64.shlibs
180,2359678,-,6,4,4,1,0,4117,1580945626.409241,1573830076.0,libudev1:amd64.symbols,44,/var/lib/dpkg/info/libudev1:amd64.symbols
181,2359606,-,7,5,5,1,0,220,1580945626.388241,1551277610.0,libpam0g:amd64.postrm,44,/var/lib/dpkg/info/libpam0g:amd64.postrm
182,2359398,-,6,4,4,1,0,7478,1580945626.355241,1578863451.0,debconf.list,44,/var/lib/dpkg/info/debconf.list
183,2359468,-,6,4,4,1,0,103,1580945626.369241,1523909660.0,libc-bin.conffiles,44,/var/lib/dpkg/info/libc-bin.conffiles
184,2359508,-,6,4,4,1,0,73,1580945626.374241,1518646823.0,libfdisk1:amd64.shlibs,44,/var/lib/dpkg/info/libfdisk1:amd64.shlibs
185,2359437,-,6,4,4,1,0,1142,1580945626.360241,1508945922.0,init-system-helpers.md5sums,44,/var/lib/dpkg/info/init-system-helpers.md5sums
186,2359492,-,6,4,4,1,0,346,1580945626.373241,1578863451.0,libdb5.3:amd64.list,44,/var/lib/dpkg/info/libdb5.3:amd64.list
187,2359369,-,7,5,5,1,0,2802,1580945626.349241,1505252896.0,base-passwd.postinst,44,/var/lib/dpkg/info/base-passwd.postinst
188,2359441,-,6,4,4,1,0,60,1580945626.360241,1492807494.0,libacl1:amd64.triggers,44,/var/lib/dpkg/info/libacl1:amd64.triggers
189,2359638,-,6,4,4,1,0,202,1580945626.401241,1578863437.0,libsepol1:amd64.list,44,/var/lib/dpkg/info/libsepol1:amd64.list
190,2359351,-,6,4,4,1,0,158,1580945626.347241,1567505135.0,apt.conffiles,44,/var/lib/dpkg/info/apt.conffiles
191,2359653,-,6,4,4,1,0,716,1580945626.402241,1578863449.0,libstdc++6:amd64.list,44,/var/lib/dpkg/info/libstdc++6:amd64.list
192,2359412,-,6,4,4,1,0,8558,1580945626.359241,1578863448.0,dpkg.list,44,/var/lib/dpkg/info/dpkg.list
193,2359635,-,6,4,4,1,0,27,1580945626.396241,1519896915.0,libsemanage1:amd64.shlibs,44,/var/lib/dpkg/info/libsemanage1:amd64.shlibs
194,2359390,-,6,4,4,1,0,503,1580945626.354241,1516864473.0,dash.md5sums,44,/var/lib/dpkg/info/dash.md5sums
195,2359714,-,6,4,4,1,0,2801,1580945626.412241,1527062907.0,ncurses-base.md5sums,44,/var/lib/dpkg/info/ncurses-base.md5sums
196,2359707,-,6,4,4,1,0,1094,1580945626.411241,1522758858.0,mawk.md5sums,44,/var/lib/dpkg/info/mawk.md5sums
197,2359413,-,6,4,4,1,0,9462,1580945626.359241,1567717514.0,dpkg.md5sums,44,/var/lib/dpkg/info/dpkg.md5sums
198,2359363,-,7,5,5,1,0,5198,1580945626.349241,1569608674.0,base-files.postinst,44,/var/lib/dpkg/info/base-files.postinst
199,2359397,-,7,5,5,1,0,478,1580945626.355241,1557160230.0,debconf.config,44,/var/lib/dpkg/info/debconf.config
200,2359348,-,7,5,5,1,0,964,1580945626.346241,1512493040.0,adduser.postinst,44,/var/lib/dpkg/info/adduser.postinst
201,2359712,-,6,4,4,1,0,21,1580945626.412241,1527062907.0,ncurses-base.conffiles,44,/var/lib/dpkg/info/ncurses-base.conffiles
202,2359612,-,6,4,4,1,0,637,1580945626.388241,1517682470.0,libpcre3:amd64.md5sums,44,/var/lib/dpkg/info/libpcre3:amd64.md5sums
203,2359405,-,6,4,4,1,0,3047,1580945626.358241,1578863407.0,debianutils.list,44,/var/lib/dpkg/info/debianutils.list
204,2359702,-,7,5,5,1,0,195,1580945626.411241,1512514453.0,lsb-base.postinst,44,/var/lib/dpkg/info/lsb-base.postinst
